ARABIC WORD | Pronounciation | English Translations | Masculine or Feminine | Root Word
هَذَا| Ha-dha | This | Masculine | |
هَذِهِ| Ha-dhi-hi | This | Feminine | | 
هَٰؤُلَاءِ| Ha-oolaa-i | Those | Masculine | | 
أَنَا | Ana | I | |
وَ | Wa | And, By | |
يَدٌ | Yad | Hand | Feminine | |
رَبٌّ | Rabb | Lord | Masculine | |
رَسُولُ | Rah-soo-loo | Messenger, Prophet | Masculine |
نَبِيّ | Nabi | Messenger, Bringer of good news, Prophet | Masculine | 
أَنْبِيَاء | Anbiya | Prophets | Masculine |
دِينٌ | Deen | Religion | Masculine |
مُؤْمِنٌ | Moo-min | Believer | Masculine |
الأَوَّل | Al-Awal | First | Masculine |
الأُولَى | Al-ula | First | Feminine | 
عَارِف | Arif | The one who knows, Knower | 
خَالِد | Khalid | Eternal | Masculine | 
خَلِيل | Khalil | Close Friend | Masculine |
مُسْلِم | Muslim | Muslim | Masculine | 
سَلام | Salam | Peace | Masculine | 
على | Ala | On, Upon, Over | | 
مُدَرِّس | Mudaris | Teacher | Masculine | 
طَالِب | Taalib | Student, Seeker, Requested | Masculine |
طَبيب | Tabeeb | Doctor | Masculine | 
مُهَنْدِس | Muhandis | Engineer | Masculine |
مُنَافِق | Munafiq | Hypocrite | Masculine | 
اسم | Ism | Name | Masculine | 
أسماء | Asma | Names | Feminine |
أخ | Akh | Brother | Masculine | 
ما | Ma | What | | 
كَيْفَ | Kayfa | How | |
مَتَى | Mata | When | | 
خَوْلَة | Khawla | Deer | Feminine | 
خَدِيجَة | Khadeeja | Premature | Feminine | 
أَيْنَ | Ayna | Where | | 
بَيْت | Bayt | House, Home | Masculine | 
بُيُوت | Buyut | Houses, Homes | Feminine | 
أنتَ | Anta | You | Masculine | 
أنتِ | Anti | You | Feminine | 
هُوَ | Huwa | He | Masculine |
هِيَ | Hiya | She | Feminine |
نَحْنُ | Nahnu | We | |
هُمْ | Hum | They | Masculine | 
أنتُمْ | Antum | You all | Masculine | 
مَنْ | Man | Who | Masculine | 
هَلْ | Hal | Do, Does, Is, Are | | 
زينة | Zeena | Decorated | Feminine |
جَيِّد | Jayid | Good | Masculine | 
حَسَن | Hasan | Good | Masculine | 
خَيْر | Khayr | Good, Goodness, Benefit | Masculine |
أحمد | Ahmad | One who praises | Masculine | 
مُحَمَّد | Muhammad | One who is praised | Masculine | 
حمد | Hamada | Praised | Masculine |  
شريف | Shareef | An Honourable Person | Masculine | 
مِن | Min | From, Of | |
جنّ | Jinn | Invisibile | |
إنس | Ins | Mankind, Humankind | Masculine | 
جِنْسِيَّة | Jinnsiya | Nationality | Feminine |
ﺟِﻨﺲ | Jins | Sex, Gender | |
بَدْر | Badr | Full Moon | Masculine |
هِلال | Hilal | Crescent, New Moon | Masculine |
قَمَر | Qamr | Moon | Masculine | 
أب | Ab | Father | Masculine | 
وَالِد| Walid | Father | Masculine | 
أم | Um | Mother | Feminine | 
وَالِدَة | Walidah | Mother | Feminine | 
جَدّ | Jad | Grandfather | Masculine | 
جَدَّة | Jadah | Grandmother | Feminine |
أُخْت | Ukht | Sister | Feminine |
إِخْوَان | Ikhwan | Brothers | Masculine |
إِخْوَتِي | Ikhwati | Sisters | Feminine |
صَدِيق | Sadiiq | Friend | Masculine |
صَدَقَة | Sadaqah | Charity | Feminine |
صِدِّيق | Sidiiq | Truthful (Person) | Masculine |
مَعَ | Maʿa | With | |
مَعِي | Maʿii | With me | |
دُعَاء | Dua | Calling (With Feeling) | Masculine |
هُدى | Huda | Guidance | Feminine |
طَلَبَ | Taalaba | Requested | Masculine |
دَرَسَ | Darasa | Studied | Masculine |
كَافِر | Kafir | Denier, Disbeliever | Masculine |
كَفَرَة | Kafarah | Disbelief | Feminine |
فَتْحَة | Fatha | Opening | Feminine |
فَتَّاح | Fatih | Opener | Masculine |
وَلَد | Walad | Boy, Son | Masculine |
وَالِدَي | Waliday | My parents | Masculine |
أُسْرَة | Usra | Family | Feminine |
عَالِي | Ali | High | Masculine |
أَعْلى | A'la | Higher | Masculine | 
صُورَة | Suwarah | Picture | Feminine |
شاء | Shaa | Willed | Masculine |
سَعِيد | Sa'id | Happy | Masculine |
عَبْد | Abd | Slave | Masculine |
حَزِين | Hazeen | Sad |  |
أَخْوَات | Akhwat | Sisters | Feminine |
عُمْر | 'Umur | Age | Masculine |
عُثْمَان | Othman | Snake | Masculine |
شَجَرَة | Shajarah | Tree | Feminine |
رِسَالَة | Risalah | Message | Feminine |
رَسُول | Rasul | Messenger | Masculine |
